fecha     ;hora    ;instalacion         ;medidor   ;temperatura;presion;caudal_instantaneo_gross;Acumulador_gross_no_reseteable;acumulador_de_pulsos_no_reseteable;factor_k_del_medidor
01/06/2021;00:00:00;PDTTUP-PTCTUP       ;1         ;33.9;-0.1;0.0;470276.8;;100000
01/06/2021;01:00:00;PDTTUP-PTCTUP       ;1         ;32.5;-0.1;0.0;470276.8;;100000
01/06/2021;02:00:00;PDTTUP-PTCTUP       ;1         ;31.1;-0.1;0.0;470276.8;;100000
01/06/2021;03:00:00;PDTTUP-PTCTUP       ;1         ;29.8;-0.1;0.0;470276.8;;100000
01/06/2021;04:00:00;PDTTUP-PTCTUP       ;1         ;28.3;-0.1;0.0;470276.8;;100000
01/06/2021;05:00:00;PDTTUP-PTCTUP       ;1         ;27.3;-0.1;0.0;470276.8;;100000
01/06/2021;06:00:00;PDTTUP-PTCTUP       ;1         ;26.7;-0.1;0.0;470276.8;;100000
01/06/2021;07:00:00;PDTTUP-PTCTUP       ;1         ;26.2;-0.1;0.0;470276.8;;100000
01/06/2021;08:00:00;PDTTUP-PTCTUP       ;1         ;25.8;-0.1;0.0;470276.8;;100000
01/06/2021;09:00:01;PDTTUP-PTCTUP       ;1         ;25.7;-0.1;0.0;470276.8;;100000
01/06/2021;10:00:00;PDTTUP-PTCTUP       ;1         ;25.8;-0.1;0.0;470276.8;;100000
01/06/2021;11:00:01;PDTTUP-PTCTUP       ;1         ;26.4;-0.1;0.0;470276.8;;100000
01/06/2021;12:00:00;PDTTUP-PTCTUP       ;1         ;27.2;-0.1;0.0;470276.8;;100000
01/06/2021;13:00:01;PDTTUP-PTCTUP       ;1         ;27.9;-0.1;0.0;470276.8;;100000
01/06/2021;14:00:00;PDTTUP-PTCTUP       ;1         ;28.9;-0.1;0.0;470276.8;;100000
01/06/2021;15:00:00;PDTTUP-PTCTUP       ;1         ;30.8;-0.1;0.0;470276.8;;100000
01/06/2021;16:00:00;PDTTUP-PTCTUP       ;1         ;36.7;-0.1;0.0;470276.8;;100000
01/06/2021;17:00:00;PDTTUP-PTCTUP       ;1         ;38.4;-0.1;0.0;470276.8;;100000
01/06/2021;18:00:01;PDTTUP-PTCTUP       ;1         ;39.0;-0.1;0.0;470276.8;;100000
01/06/2021;19:00:00;PDTTUP-PTCTUP       ;1         ;38.6;-0.1;0.0;470276.8;;100000
01/06/2021;20:00:00;PDTTUP-PTCTUP       ;1         ;37.7;-0.1;0.0;470276.8;;100000
01/06/2021;21:00:00;PDTTUP-PTCTUP       ;1         ;36.0;-0.1;0.0;470276.8;;100000
01/06/2021;22:00:00;PDTTUP-PTCTUP       ;1         ;34.5;-0.1;0.0;470276.8;;100000
01/06/2021;23:00:00;PDTTUP-PTCTUP       ;1         ;33.1;-0.1;0.0;470276.8;;100000
